Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
100.0,3,2.0,2,2.0,16000000,1,1,2
900.0,3,2.0,3,2.0,10400000,1,1,1
270.0,1,1.0,1,2.0,1700000,1,1,1
950.0,2,2.0,2,2.0,8000000,1,1,1
1800.0,3,3.0,2,2.0,27000000,1,1,1
1500.0,3,3.0,2,2.0,19500000,1,1,1
1800.0,3,3.0,3,3.0,50000000,1,1,2
1800.0,3,3.0,1,3.0,21100000,1,1,1
2306.0,3,3.0,1,1.0,57000000,2,2,2
850.0,2,3.0,2,1.0,5900000,1,1,1
140.0,3,2.0,1,1.0,12000000,1,2,1
900.0,3,2.0,1,1.0,12000000,1,1,1
1800.0,3,3.0,1,1.0,24000000,1,1,2
200.0,1,1.0,2,1.0,7000000,1,1,2
1782.0,3,3.0,2,1.0,15000000,1,1,2
900.0,2,2.0,3,1.0,1500000,1,1,1
405.0,2,1.0,2,1.0,3950000,1,1,2
1500.0,3,3.0,1,1.0,12500000,1,1,1
66.0,3,1.0,1,1.0,1600000,1,2,2
2000.0,4,4.0,1,2.0,36500000,1,1,2
1200.0,3,2.0,2,1.0,20000000,1,1,2
1100.0,2,2.0,2,1.0,15000000,1,1,2
1400.0,3,2.0,2,2.0,25000000,1,2,2
1600.0,3,2.0,2,2.0,18500000,1,1,2
1600.0,4,3.0,1,2.0,23500000,1,1,2
600.0,1,1.0,2,1.0,8000000,1,2,2
1600.0,3,2.0,1,1.0,23000000,1,1,2
2000.0,3,3.0,1,1.0,31000000,1,1,2
650.0,1,2.0,2,1.0,7400000,1,1,2
1100.0,2,2.0,1,1.0,15500000,1,1,2
1075.0,2,2.0,2,2.0,12000000,1,2,2
1450.0,3,2.0,2,2.0,23500000,1,1,2
1200.0,3,2.0,2,2.0,25000000,1,1,2
600.0,1,2.0,1,2.0,7000000,1,2,2
1000.0,2,2.0,1,1.0,17500000,1,1,2
1600.0,3,2.0,2,1.0,25000000,1,1,2
1750.0,4,4.0,1,1.0,29000000,1,2,2
1300.0,3,3.0,2,1.0,21900000,1,1,2
550.0,1,2.0,3,1.0,7500000,1,1,2
2200.0,4,3.0,2,2.0,23500000,1,1,2
1100.0,2,2.0,2,2.0,24000000,1,1,2
1700.0,3,2.0,2,2.0,31000000,1,1,1
1100.0,2,2.0,2,3.0,16500000,1,1,2
1000.0,2,2.0,3,1.0,5000000,1,1,1
1350.0,3,2.0,3,1.0,24000000,1,2,2
1184.0,2,2.0,2,1.0,17000000,1,1,2
2000.0,4,2.0,3,1.0,40000000,1,2,2
3500.0,4,4.0,2,4.0,22500000,1,2,1
900.0,3,3.0,3,2.0,20000000,1,1,1
4688.0,5,4.0,1,1.0,135000000,2,2,2
750.0,2,2.0,2,1.0,5000000,1,2,2
3901.0,4,4.0,1,1.0,93000000,2,2,2
950.0,3,2.0,3,1.0,4370000,1,2,2
1000.0,3,2.0,1,1.0,4620000,1,2,2
850.0,2,1.0,2,1.0,1900000,1,2,2
2400.0,4,4.0,2,1.0,70000000,1,2,2
1350.0,3,2.0,1,1.0,5130000,1,2,2
540.0,2,2.0,2,1.0,3000000,1,2,2
1387.0,4,4.0,1,1.0,5890000,1,2,2
540.0,2,2.0,2,1.0,3300000,1,2,2
976.0,2,2.0,3,1.0,24900000,1,2,2
1050.0,3,2.0,1,1.0,3700000,1,2,2
2700.0,4,3.0,2,1.0,60000000,1,2,1
1500.0,3,2.0,1,1.0,17400000,1,1,2
2900.0,5,5.0,3,1.0,51000000,2,2,1
5025.0,5,6.0,1,4.0,170000000,2,2,1
1000.0,3,2.0,2,1.0,5510000,2,2,1
1135.0,3,3.0,3,2.0,25000000,2,1,2
2306.0,3,3.0,1,1.0,57000000,2,2,2
850.0,2,2.0,2,1.0,2940000,2,2,2
1200.0,3,3.0,2,1.0,15500000,1,1,2
1700.0,3,2.0,2,1.0,17200000,1,1,2
1800.0,4,3.0,2,2.0,55000000,1,1,1
1100.0,2,2.0,2,1.0,15000000,1,1,2
22050.0,4,4.0,2,2.0,51000000,2,2,1
1550.0,4,3.0,2,1.0,13000000,1,2,1
1600.0,3,3.0,2,1.0,30000000,1,2,1
700.0,2,2.0,2,1.0,2400000,1,2,1
45.0,4,3.0,1,1.0,5500000,1,2,1
450.0,2,2.0,1,0.0,2900000,1,1,2
540.0,5,2.0,1,0.0,17000000,1,1,2
1350.0,3,3.0,1,0.0,25000000,1,1,2
2250.0,3,2.0,1,0.0,10000000,1,1,2
1250.0,2,1.0,2,0.0,7500000,1,1,2
504.0,3,1.0,2,0.0,3600000,1,1,2
65.0,3,2.0,2,0.0,35000000,1,2,2
450.0,2,1.0,1,0.0,6000000,1,1,2
1800.0,4,2.0,3,0.0,17500000,1,1,1
1800.0,4,3.0,3,0.0,35000000,1,1,1
1530.0,5,2.0,3,0.0,10200000,1,1,1
